BusA,CCAr,Reference,Account,Customer.Name,Zone,Bran,Ty,Local.Crcy.Amt,Arr..Clearing...Net.Due.Date.,PayT,Sale.Type,DocumentNo,Doc.Chq.dt,Month,Pstng.Date,Net.Due.Dt,G.L,Year,Pending_Amy,pending_cnt,Prediction,No Delay,0 to 10,>=10
4000,BPR,1412034352.0,879121,DE SON MARKETING PRIVATE LIMIT,East,BHUB,RV,0.15,0,Z001,Cash,64968547,21.12.2018,Dec,21-12-18,21-12-18,1221001,2019,0.0,0,No Delay,0.81,0.18,0.01
4000,BPR,1412034371.0,879121,DE SON MARKETING PRIVATE LIMIT,East,BHUB,RV,0.15,0,Z001,Cash,64970017,21.12.2018,Dec,21-12-18,21-12-18,1221001,2019,0.0,0,No Delay,0.81,0.18,0.01
4000,BPR,1412034412.0,879121,DE SON MARKETING PRIVATE LIMIT,East,BHUB,RV,0.15,0,Z001,Cash,64979259,24.12.2018,Dec,24-12-18,24-12-18,1221001,2019,0.0,0,No Delay,0.66,0.25,0.09
4000,BPR,1412034411.0,879121,DE SON MARKETING PRIVATE LIMIT,East,BHUB,RV,0.15,0,Z001,Cash,64979250,24.12.2018,Dec,24-12-18,24-12-18,1221001,2019,0.0,0,No Delay,0.66,0.25,0.09
4000,BPR,1412034416.0,879121,DE SON MARKETING PRIVATE LIMIT,East,BHUB,RV,0.15,0,Z001,Cash,64979541,24.12.2018,Dec,24-12-18,24-12-18,1221001,2019,0.0,0,No Delay,0.66,0.25,0.09
4000,BPR,1412034426.0,879121,DE SON MARKETING PRIVATE LIMIT,East,BHUB,RV,0.15,0,Z001,Cash,64981136,25.12.2018,Dec,25-12-18,25-12-18,1221001,2019,0.0,0,No Delay,0.7,0.23,0.07
4000,BPR,1412034427.0,879121,DE SON MARKETING PRIVATE LIMIT,East,BHUB,RV,0.15,0,Z001,Cash,64981156,25.12.2018,Dec,25-12-18,25-12-18,1221001,2019,0.0,0,No Delay,0.7,0.23,0.07
4000,BPR,1412034428.0,879121,DE SON MARKETING PRIVATE LIMIT,East,BHUB,RV,0.15,0,Z001,Cash,64981298,25.12.2018,Dec,25-12-18,25-12-18,1221001,2019,0.0,0,No Delay,0.7,0.23,0.07
4000,BPR,1412034431.0,879121,DE SON MARKETING PRIVATE LIMIT,East,BHUB,RV,0.16,0,Z001,Cash,64981377,25.12.2018,Dec,25-12-18,25-12-18,1221001,2019,0.0,0,No Delay,0.7,0.22,0.07
4000,BPR,1412034441.0,879121,DE SON MARKETING PRIVATE LIMIT,East,BHUB,RV,0.16,0,Z001,Cash,64982167,25.12.2018,Dec,25-12-18,25-12-18,1221001,2019,0.0,0,No Delay,0.7,0.22,0.07
4000,BPR,1412034337.0,875592,KAUSALYA  AGENCIES,East,BHUB,RV,0.18,0,Z001,Cash,64966511,20.12.2018,Dec,20-12-18,20-12-18,1221001,2019,0.0,0,No Delay,0.91,0.08,0.02
4000,BPR,1412034338.0,875592,KAUSALYA  AGENCIES,East,BHUB,RV,0.15,0,Z001,Cash,64966596,20.12.2018,Dec,20-12-18,20-12-18,1221001,2019,0.0,0,No Delay,0.91,0.07,0.02
4000,BPR,1412034340.0,875592,KAUSALYA  AGENCIES,East,BHUB,RV,0.15,0,Z001,Cash,64966729,20.12.2018,Dec,20-12-18,20-12-18,1221001,2019,0.0,0,No Delay,0.91,0.07,0.02
